June 2010
Area,Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30

Houston-Galveston-Brazoria
,Houston East C1/G316,2,Reg,49,35,30,42,41,33,22,29,22,19,15,15,17,23,28,34,23,26,28,37,46,51,34,54,30,36,31,29,30,13
,Houston Aldine C8/AF108/X150 ,2,Reg,65,40,35,49,52,47,32,37,27,23,17,18,22,27,38,42,28,33,41,50,63,61,NV,50,43,46,44,37,NV,21
,Channelview C15/AH115 ,3,Reg,46,36,35,46,41,38,27,28,22,NV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Northwest Harris Co. C26/A110/X154,2,Reg,61,40,39,52,48,45,36,35,30,27,24,22,24,28,33,40,27,29,39,39,59,61,47,31,42,44,42,35,36,23
,Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,46,38,41,54,41,41,33,39,23,20,16,16,18,23,31,32,22,27,28,32,41,52,41,46,36,37,33,33,35,22
,Seabrook Friendship Park C45,1,Reg,40,36,44,59,38,36,35,32,21,19,15,16,19,20,29,29,19,22,23,29,36,48,38,30,38,34,31,29,31,22
,Houston Bayland Park C53/A146 ,1,Reg,43,34,37,53,43,32,28,32,22,22,16,15,18,20,24,34,20,21,28,26,34,39,34,35,30,31,31,28,40,19
,Conroe Relocated C78/A321,1,Reg,68,43,36,42,54,47,28,28,22,32,30,28,28,38,43,49,36,41,47,45,66,60,46,33,49,42,50,25,27,20
,Houston Regional Office C81,1,Reg,40,31,31,46,39,29,19,25,19,16,12,13,17,19,26,29,19,20,25,28,34,38,28,31,26,34,28,NV,29,14
,Manvel Croix Park C84,1,Reg,41,33,39,56,40,31,30,32,24,19,15,16,18,22,32,32,23,23,25,24,31,38,33,29,31,31,30,25,33,23
,Clinton C403/C304/AH113 ,3,Reg,44,31,29,49,40,33,25,34,21,18,13,14,18,20,28,28,21,22,25,31,38,43,33,40,31,36,30,26,34,19
,Houston North Wayside C405/C1033,1,Reg,48,31,26,43,40,35,23,29,21,18,14,15,18,21,25,32,21,23,30,37,45,45,28,45,30,36,32,29,29,17
,Houston Monroe C406,1,Reg,36,31,34,45,35,29,27,30,21,20,14,14,16,20,26,27,21,21,22,23,28,38,33,28,29,31,25,24,32,20
,Lang C408,2,Reg,46,36,36,46,46,39,21,25,22,21,17,17,19,22,29,38,22,25,32,30,44,46,33,NV,NV,34,33,35,31,17
,Houston Croquet C409,2,Reg,41,33,37,54,42,31,28,NV,23,22,16,15,18,20,26,33,20,21,28,24,30,38,34,32,32,31,31,25,41,20
,Houston Westhollow C410/C3003,1,Reg,41,33,39,53,44,34,28,32,21,19,16,17,18,21,24,33,20,21,24,26,32,39,28,33,28,31,29,28,40,20
,Houston Texas Avenue C411,1,Reg,40,29,28,41,39,32,21,26,21,18,14,14,17,20,26,29,20,20,24,27,35,40,30,30,29,35,29,29,35,18
,Park Place C416,1,Reg,45,35,35,50,NV,NA,NA,NV,24,21,16,16,19,23,30,32,23,24,26,28,35,45,37,33,32,38,31,28,35,19
,Sheldon C551,1,Non,55,37,37,48,46,43,NV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV,38,42,28,30,19
,Baytown Wetlands Center C552,1,Non,43,37,43,51,39,36,32,28,23,20,16,17,21,21,33,31,21,24,30,33,40,45,38,32,36,33,33,27,35,21
,Crosby Library C553,1,Non,69,52,49,50,56,49,NV,NA,NA,NA,NA,NA,NA,NA,NV,46,28,38,47,47,60,56,39,52,40,37,41,28,32,20
,West Houston C554,1,Non,48,33,39,52,44,40,26,33,24,23,19,19,21,24,28,39,24,25,32,28,43,47,35,37,33,35,34,32,41,22
,Mercer Arboretum C557,1,Non,73,45,38,46,58,53,31,35,29,28,23,24,NV,36,45,52,34,42,50,57,71,69,50,54,47,49,51,23,32,22
,Tom Bass C558,1,Non,37,33,37,52,38,29,26,29,21,17,14,15,18,20,29,30,21,21,23,24,30,38,33,29,30,30,27,27,35,20
,Katy Park C559,1,Non,43,32,36,52,40,32,27,32,23,19,14,15,17,19,23,30,18,19,22,26,39,39,34,29,33,31,33,25,41,22
,Atascocita C560,1,Non,66,43,39,46,52,45,27,33,26,23,19,21,23,29,NV,NV,31,37,43,53,70,69,44,69,41,42,48,33,31,NV
,Meyer Park C561,1,Non,62,37,39,48,52,47,35,34,30,26,23,21,23,31,36,46,31,35,42,43,60,61,46,42,44,48,42,37,34,22
,Bunker Hill Village C562,1,Non,47,36,35,51,47,38,23,27,22,22,17,16,19,23,26,35,22,23,29,30,38,44,32,35,25,30,31,30,37,17
,Clear Brook High School C570,1,Non,37,32,39,53,37,28,30,31,22,19,14,15,17,20,29,25,20,22,21,25,30,44,34,30,32,32,27,25,29,20
,Clear Creek High School C571,1,Non,36,33,42,57,34,29,32,31,18,17,15,15,17,19,29,28,19,21,21,29,29,48,35,33,37,34,29,32,29,22
,Clear Lake High School C572,1,Non,41,36,42,56,39,36,33,33,21,18,15,15,17,20,29,29,20,23,23,29,31,48,37,33,36,34,31,31,32,22
,HRM-3 Haden Road C603/A114 ,1,Non,47,33,32,46,36,29,NV,NA,NA,NA,NV,13,16,21,28,33,21,25,28,35,43,50,32,55,30,33,31,23,33,17
,Wallisville Road C617 ,1,Non,55,42,47,48,47,42,31,34,28,25,20,19,24,29,37,39,24,33,38,43,48,49,39,60,41,35,34,32,37,22
,Danciger C618 ,1,Non,34,31,43,51,37,25,29,38,23,20,18,17,19,20,26,28,21,20,22,21,24,31,29,26,27,30,29,27,31,26
,Mustang Bayou C619 ,1,Non,33,35,43,50,37,28,29,29,21,19,17,15,19,21,30,28,21,22,20,20,24,35,30,26,27,25,25,24,24,20
,Texas City 34th St. C620 ,1,Non,32,33,44,57,33,27,29,27,18,16,13,13,17,20,28,25,19,18,17,19,28,45,33,28,30,28,27,28,25,20
,UH Moody Tower C695,1,Non,49,40,43,58,49,42,32,36,31,27,21,20,24,28,36,39,28,29,31,34,43,51,44,40,38,44,35,41,42,24
,U of H-Sugarland C696,1,Non,NA,NA,NV,50,40,30,34,35,20,18,15,16,18,20,24,29,19,NV,22,25,34,35,30,29,29,30,29,26,44,22
,UH Coastal Center C697,1,Non,33,38,43,56,36,29,32,29,21,19,16,16,18,18,30,27,19,20,17,19,28,43,37,32,30,28,27,29,26,22
,UH WG Jones Forest C698,1,Non,82,48,39,53,63,60,35,36,32,36,33,33,31,43,NV,NV,41,47,58,58,80,80,60,42,62,54,60,35,36,25
,UH West Liberty C699,1,Non,47,41,38,33,44,41,21,28,26,21,18,17,22,29,34,39,25,35,41,38,49,43,33,38,37,32,31,27,28,19
,Lynchburg Ferry C1015/A165 ,1,Reg,46,41,39,48,40,38,32,35,25,20,18,16,20,21,30,32,23,26,29,36,49,48,42,52,42,34,37,29,37,23
,Lake Jackson C1016 ,1,Reg,30,28,43,45,33,24,27,32,18,16,15,15,16,17,26,25,16,17,17,17,20,31,24,25,26,26,25,21,24,18
,Galveston 99th St. C1034/A320/X183,1,Reg,34,38,40,55,40,28,NV,27,19,17,15,15,17,23,28,25,18,16,18,18,29,39,34,15,22,25,23,24,18,NA

July 2010
Area,Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,Katy Park C559,1,Non,42,38,43,41,18,21,15,15,17,17,31,55,32,33,39,33,37,22,34,36,53,37,15,17,19,23,31,44,41,42
,Atascocita C560,1,Non,37,30,33,34,19,35,34,32,28,18,31,35,29,27,25,21,28,29,47,31,37,39,19,16,20,19,28,48,36,34
,Meyer Park C561,1,Non,39,35,37,37,17,31,21,22,17,16,28,36,25,27,19,20,27,23,44,33,41,44,19,18,17,18,29,42,37,37
,Bunker Hill Village C562,1,Non,53,48,52,43,13,21,15,19,20,14,41,56,29,32,46,31,45,30,54,46,58,40,16,16,17,31,42,57,53,49
,Huffman Wolf Road C563,1,Non,40,32,36,34,20,26,38,36,33,12,29,32,23,26,29,23,27,27,40,32,40,35,16,15,18,17,29,50,39,37
,Clear Brook High School C570,1,Non,53,NV,NA,NA,18,20,20,17,22,25,52,37,30,37,31,23,NV,NA,NV,40,51,36,14,14,20,32,45,80,54,47
,Clear Creek High School C571,1,Non,58,49,52,30,20,22,19,20,26,28,64,35,31,38,35,27,53,33,43,48,56,40,14,16,20,28,49,81,57,41
,HRM-3 Haden Road C603/A114 ,1,Non,44,42,49,39,22,29,27,26,25,19,39,NV,NV,36,41,28,46,41,84,37,52,43,16,19,17,NV,33,62,43,47
,Wallisville Road C617 ,1,Non,46,41,48,39,26,27,31,32,35,23,36,40,37,37,46,29,42,43,60,43,55,40,17,20,26,28,33,55,44,46
,Danciger C618 ,1,Non,64,53,41,25,17,18,14,NV,18,19,38,37,NV,32,34,36,NV,20,26,39,55,33,10,12,17,27,47,50,NV,44
,Texas City 34th St. C620 ,1,Non,51,50,66,34,25,27,26,31,33,36,56,42,38,40,42,32,53,30,50,53,61,46,21,22,24,38,52,81,60,49
,UH Moody Tower C695,1,Non,54,56,58,43,25,27,28,27,29,25,52,61,42,43,51,34,58,40,66,48,66,47,20,19,23,NV,44,70,53,53
,U of H-Sugarland C696,1,Non,62,64,78,39,23,25,19,21,25,26,49,57,41,60,51,45,45,31,49,45,77,43,20,20,24,13,NV,65,61,66
,UH Coastal Center C697,1,Non,48,53,57,26,21,NV,NV,23,27,30,62,40,31,36,NV,30,36,22,43,52,54,40,16,18,20,34,50,78,68,44
,UH WG Jones Forest C698,1,Non,51,42,45,48,30,52,41,39,32,29,38,43,37,31,37,28,37,33,48,43,53,49,32,28,31,26,39,58,44,46
,UH West Liberty C699,1,Non,NV,33,38,34,19,23,31,30,33,17,30,36,30,27,29,24,NV,NA,NV,33,42,32,16,17,20,18,30,47,37,37
,Lynchburg Ferry C1015/A165 ,1,Reg,38,35,44,33,22,26,27,28,30,23,34,33,29,31,37,23,45,34,54,34,54,38,14,19,19,25,33,56,40,42
,Lake Jackson C1016 ,1,Reg,65,52,59,27,22,22,19,19,25,25,42,41,31,37,36,36,25,20,32,40,57,40,17,15,22,23,50,56,73,51
,Baytown Garth C1017,1,Reg,45,39,45,36,24,24,28,29,33,20,33,37,35,35,45,27,39,41,59,41,54,39,15,18,24,26,35,53,43,44
,Galveston 99th St. C1034/A320/X183,1,Reg,50,60,NA,49,26,26,24,35,35,35,57,45,37,40,39,33,39,24,NV,51,58,42,18,21,24,36,46,68,56,50
,UH Smith Point C1606,1,Non,47,44,60,34,25,25,29,33,36,39,42,36,37,38,42,29,72,46,54,53,65,42,21,21,25,33,40,59,52,NV

October 2016
Area,Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31

Houston-Galveston-Brazoria
,Houston East C1/G316,2,Reg,51,53,63,35,25,35,36,34,36,58,30,42,41,42,34,29,28,24,30,NV,30,43,46,46,43,60,48,49,40,50,42
,Houston Aldine C8/AF108/X150 ,2,Reg,57,57,64,50,38,45,50,43,44,63,NV,51,54,54,43,36,37,32,33,32,40,53,51,58,55,74,49,57,48,56,50
,Channelview C15/AH115 ,3,Reg,54,56,62,36,24,35,44,39,40,57,30,39,34,45,32,30,28,22,27,29,37,39,44,43,41,51,47,45,35,46,37
,Northwest Harris Co. C26/A110/X154,2,Reg,53,51,60,53,42,47,44,35,41,59,35,46,54,47,41,33,31,27,31,31,37,56,47,51,53,67,50,57,48,51,51
,Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,57,64,62,38,29,38,46,41,41,54,NA,NV,41,45,32,29,28,24,31,28,37,42,46,47,43,55,52,46,39,48,42
,Seabrook Friendship Park C45,1,Reg,58,65,65,NV,34,43,48,42,42,53,35,42,38,46,32,30,27,22,30,30,36,40,44,48,43,50,50,43,39,51,43
,Houston Bayland Park C53/A146 ,1,Reg,59,59,70,38,26,35,46,41,42,64,27,36,37,40,32,25,23,19,24,28,35,42,44,47,45,57,54,53,41,50,41
,Conroe Relocated C78/A321,1,Reg,55,56,55,48,35,42,49,38,45,53,37,62,50,43,54,44,46,42,40,34,40,48,59,51,55,65,51,53,50,46,56
,Manvel Croix Park C84,1,Reg,61,73,67,42,31,42,59,58,59,66,37,46,NV,49,40,34,35,28,32,34,47,52,50,55,50,60,NV,52,45,53,47
,Clinton C403/C304/AH113 ,3,Reg,57,58,67,39,27,40,46,43,42,65,32,38,41,43,33,29,25,22,26,23,37,41,45,45,43,59,52,49,41,48,41
,Houston North Wayside C405/C1033,1,Reg,52,52,61,37,28,37,43,40,41,61,29,42,43,45,34,29,29,25,26,25,35,44,45,47,43,60,42,47,40,53,41
,Houston Monroe C406,1,Reg,48,63,56,36,26,35,42,40,41,53,28,35,40,39,28,26,26,22,23,22,31,37,41,41,38,49,46,42,37,41,39
,Lang C408,2,Reg,61,58,68,42,34,42,44,40,43,68,30,42,44,42,38,30,28,24,27,29,34,49,45,50,48,65,47,57,43,59,43
,Houston Croquet C409,2,Reg,59,73,67,42,32,38,52,48,49,66,35,42,40,47,39,31,28,24,29,31,41,47,45,49,47,56,59,50,43,48,44
,Houston Westhollow C410/C3003,1,Reg,68,67,84,47,37,42,54,48,51,80,38,44,43,45,38,31,30,25,30,34,44,53,47,54,50,62,58,61,44,58,46
,Houston Texas Avenue C411,1,Reg,62,60,74,42,32,44,49,46,45,70,33,42,45,45,36,31,31,26,30,25,37,45,47,NV,NA,NA,NA,NA,NA,NA,NA
,Park Place C416,1,Reg,NV,NA,NA,NV,29,39,46,44,43,64,33,42,45,46,34,30,30,26,29,23,37,42,45,47,45,57,54,49,41,51,45
,Sheldon C551,1,Non,37,39,42,24,20,28,33,32,33,41,26,32,31,36,30,27,27,25,26,29,32,34,36,35,34,41,35,37,31,36,33
,Baytown Wetlands Center C552,1,Non,41,45,44,22,15,21,29,28,33,38,22,23,20,26,20,19,18,14,18,22,28,29,32,26,26,35,31,27,21,29,23
,West Houston C554,1,Non,NA,NA,NV,27,22,24,28,25,28,43,20,24,27,25,22,19,17,14,15,18,23,30,NV,NA,NA,NA,NA,NA,NA,NA,NA
,La Porte Sylvan Beach C556,1,Non,53,60,59,35,32,41,47,41,42,52,35,39,36,43,30,30,27,21,29,28,36,38,42,45,43,48,46,41,35,46,41
,Mercer Arboretum C557,1,Non,24,25,28,24,16,20,22,20,22,25,19,24,25,23,21,18,20,17,11,16,17,23,25,23,24,33,25,28,26,25,28
,Tom Bass C558,1,Non,51,67,57,29,24,34,43,42,42,54,30,36,34,38,29,25,26,21,24,25,35,40,40,43,40,48,49,42,38,41,38
,Katy Park C559,1,Non,55,55,72,39,31,32,41,34,41,71,34,39,33,28,29,22,21,17,22,26,37,45,40,NV,44,52,50,55,34,51,38
,Atascocita C560,1,Non,46,48,53,40,29,35,40,35,37,51,30,44,43,44,39,30,30,26,25,25,34,42,44,46,43,59,42,48,39,42,40
,Meyer Park C561,1,Non,47,45,52,42,28,35,37,32,36,48,28,38,43,38,34,27,NV,NV,16,26,30,43,39,41,42,58,39,44,39,41,40
,Bunker Hill Village C562,1,Non,64,62,79,42,29,36,50,45,48,76,28,39,42,34,29,24,23,20,24,29,37,45,40,46,45,56,45,50,38,51,39
,Huffman Wolf Road C563,1,Non,49,56,61,41,23,NV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Clear Brook High School C570,1,Non,53,64,59,35,24,37,48,49,47,54,29,39,44,42,31,28,28,22,27,26,38,41,44,45,42,NA,NA,NA,NA,NA,NV
,Clear Creek High School C571,1,Non,53,65,60,34,25,37,51,49,43,50,31,40,40,44,30,28,25,20,27,28,39,39,42,44,38,48,47,40,36,48,40
,HRM-3 Haden Road C603/A114 ,1,Non,60,61,71,40,27,39,46,40,42,67,34,45,41,47,35,31,NV,26,31,27,36,42,47,47,44,60,54,51,41,53,41
,Wallisville Road C617 ,1,Non,57,64,69,41,29,40,49,42,44,58,40,45,36,51,38,36,33,27,NV,31,40,43,50,50,49,60,54,52,43,54,44
,Danciger C618 ,1,Non,45,54,56,35,21,NV,53,54,53,56,NV,35,NV,28,30,23,24,18,24,25,45,43,40,42,41,45,NV,48,38,43,43
,Texas City 34th St. C620 ,1,Non,60,74,68,50,35,47,53,45,49,59,45,49,45,54,37,36,33,26,35,36,42,46,50,54,47,58,58,49,44,53,49
,UH Moody Tower C695,1,Non,70,66,78,45,33,43,52,49,48,74,36,45,49,NV,31,27,28,23,26,23,34,38,40,42,41,50,46,43,34,42,37
,U of H-Sugarland C696,1,Non,70,85,73,47,31,41,63,56,58,74,43,48,41,45,39,31,31,NV,31,NV,NV,52,50,56,51,56,67,56,42,52,48
,UH Coastal Center C697,1,Non,56,66,62,NV,30,42,49,49,45,56,40,43,41,51,31,30,27,21,30,31,40,43,45,50,44,NV,49,44,40,46,43
,UH WG Jones Forest C698,1,Non,56,56,NV,NV,39,43,50,40,46,56,39,61,55,44,51,43,42,38,35,35,40,55,58,52,53,67,48,51,49,45,53
,UH West Liberty C699,1,Non,48,54,58,37,NV,35,NV,35,38,62,31,41,36,41,36,32,33,28,NV,27,36,43,45,45,49,52,45,52,37,46,39
,Lynchburg Ferry C1015/A165 ,1,Reg,51,56,62,36,27,36,40,34,38,56,30,39,35,44,30,30,27,22,28,27,35,40,44,46,40,50,NV,NA,NA,NA,NA
,Lake Jackson C1016 ,1,Reg,58,68,62,36,29,38,NA,NA,NA,NV,NV,43,39,40,32,30,29,22,31,28,49,45,46,48,45,NV,49,48,38,46,44
,Baytown Garth C1017,1,Reg,55,61,67,41,29,40,49,41,42,56,38,42,36,50,36,35,32,26,29,30,39,42,48,50,49,59,53,52,42,51,42
,Galveston 99th St. C1034/A320/X183,1,Reg,58,66,67,55,39,48,51,43,48,62,47,NV,45,55,37,36,34,27,34,33,36,46,48,52,48,59,45,47,44,51,47

November 2016
Area,Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30

Houston-Galveston-Brazoria
,Houston East C1/G316,2,Reg,30,30,32,36,41,32,32,12,22,26,30,36,26,46,34,48,47,32,30,38,39,35,24,36,26,39,45,26,28,25
,Houston Aldine C8/AF108/X150 ,2,Reg,28,37,35,35,42,42,39,20,30,35,38,43,31,48,45,57,52,32,37,43,43,36,27,45,31,37,45,27,27,34
,Channelview C15/AH115 ,3,Reg,29,27,29,35,43,34,34,19,27,32,40,42,29,43,42,43,45,32,36,34,38,31,29,34,33,39,40,25,29,34
,Northwest Harris Co. C26/A110/X154,2,Reg,23,37,41,29,34,41,35,23,NV,37,38,39,31,42,40,57,45,29,35,41,44,36,28,49,37,33,42,29,28,34
,Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,33,31,34,43,48,33,39,19,31,32,40,NV,NA,NA,NV,55,50,36,36,NV,NA,NA,NA,NA,NV,41,46,27,27,34
,Seabrook Friendship Park C45,1,Reg,33,32,39,45,52,44,44,20,35,34,41,55,33,54,45,55,54,39,37,41,44,39,32,39,40,41,50,33,31,32
,Houston Bayland Park C53/A146 ,1,Reg,25,26,NV,46,54,38,37,19,28,36,38,46,25,44,42,57,42,31,35,41,41,35,29,41,25,41,43,25,26,34
,Conroe Relocated C78/A321,1,Reg,32,41,34,26,35,43,41,23,32,38,45,44,36,49,47,65,54,29,39,43,52,39,32,40,38,34,51,30,29,37
,Manvel Croix Park C84,1,Reg,32,32,36,47,56,38,42,21,31,36,42,53,35,48,45,54,50,33,38,42,44,39,31,43,39,44,47,30,32,37
,Clinton C403/C304/AH113 ,3,Reg,27,29,35,42,50,34,35,20,31,35,35,41,27,NA,NA,NA,NV,25,35,38,34,29,26,39,32,40,44,23,22,33
,Houston North Wayside C405/C1033,1,Reg,26,28,28,32,39,36,30,18,28,30,32,38,29,37,34,48,42,25,34,39,36,31,22,36,26,39,41,21,21,30
,Houston Monroe C406,1,Reg,26,26,32,37,43,32,33,13,22,25,NV,38,26,41,35,45,41,28,30,33,34,31,25,32,29,34,41,26,28,27
,Lang C408,2,Reg,24,28,32,33,40,34,32,17,23,30,32,38,28,40,NV,52,43,25,29,37,NV,32,25,45,22,39,40,24,24,28
,Houston Croquet C409,2,Reg,28,29,35,48,52,37,38,17,27,34,36,45,32,44,42,56,47,33,35,40,42,36,28,39,29,41,44,27,30,34
,Houston Westhollow C410/C3003,1,Reg,28,32,36,46,56,41,39,25,28,36,40,46,25,43,43,56,44,29,34,40,43,34,26,42,28,43,42,27,28,33
,Park Place C416,1,Reg,29,30,36,46,49,35,36,15,25,31,33,42,27,44,NV,53,44,30,33,37,37,33,25,38,30,39,43,26,28,30
,Sheldon C551,1,Non,29,27,27,29,33,32,26,23,29,31,34,34,29,34,35,38,36,29,32,32,34,29,28,31,29,32,34,27,27,29
,Baytown Wetlands Center C552,1,Non,20,16,18,22,32,24,21,11,21,25,27,34,25,35,29,35,27,23,28,29,31,24,24,25,26,31,34,16,19,26
,West Houston C554,1,Non,NA,NA,NV,38,46,41,36,23,29,36,37,43,32,42,40,58,47,28,36,41,46,31,27,48,32,43,44,27,28,34
,La Porte Sylvan Beach C556,1,Non,33,29,34,39,45,35,37,18,31,31,37,48,31,45,41,47,45,30,35,39,40,30,29,34,36,36,42,28,26,30
,Mercer Arboretum C557,1,Non,17,22,22,18,21,24,23,17,20,22,23,23,21,24,23,27,26,21,23,26,25,21,18,25,19,22,27,18,18,26
,Tom Bass C558,1,Non,26,24,30,41,45,31,34,16,25,29,33,42,28,39,36,49,43,27,32,35,38,32,24,35,30,38,42,24,27,29
,Katy Park C559,1,Non,18,23,31,32,40,35,33,21,28,36,37,39,27,39,36,48,38,24,32,34,39,28,24,39,30,39,38,24,24,31
,Atascocita C560,1,Non,31,31,31,28,32,36,35,18,28,31,35,37,29,41,36,52,44,27,33,39,42,33,25,37,32,31,41,23,25,31
,Meyer Park C561,1,Non,15,28,30,26,30,33,30,19,24,30,31,33,24,35,34,47,39,24,29,34,35,28,22,38,25,26,35,22,17,27
,Bunker Hill Village C562,1,Non,22,25,NV,NA,NA,NA,NA,NV,24,34,34,40,26,42,38,54,43,27,35,38,39,26,25,41,24,39,41,24,25,33
,Clear Brook High School C570,1,Non,29,28,33,41,46,31,38,18,31,31,40,48,31,47,39,53,47,34,35,38,41,35,28,35,40,38,46,28,29,34
,Clear Creek High School C571,1,Non,29,25,32,40,45,32,34,18,NV,NV,41,49,29,44,43,52,45,32,34,34,38,34,31,33,39,35,43,27,28,33
,HRM-3 Haden Road C603/A114 ,1,Non,31,32,36,42,46,35,38,17,28,33,38,43,31,46,41,53,45,31,35,38,40,32,27,36,35,39,43,25,29,32
,Wallisville Road C617 ,1,Non,36,32,37,40,47,41,43,24,36,38,44,49,34,60,49,61,54,37,39,44,48,41,37,40,38,45,52,31,33,39
,Danciger C618 ,1,Non,27,27,36,44,46,34,39,22,32,37,43,45,29,43,41,52,44,30,37,40,43,37,30,39,35,42,44,29,30,39
,Texas City 34th St. C620 ,1,Non,39,36,40,45,51,48,45,26,40,40,48,56,36,53,51,59,54,45,41,43,46,42,38,40,46,44,53,34,32,41
,UH Moody Tower C695,1,Non,23,24,29,35,40,29,27,14,22,26,36,45,28,49,46,58,49,35,37,41,44,36,28,41,36,43,47,28,29,34
,U of H-Sugarland C696,1,Non,30,NV,38,52,59,43,42,21,26,35,40,50,39,48,43,59,49,36,37,43,48,39,27,46,29,48,46,29,30,36
,UH Coastal Center C697,1,Non,36,32,35,42,NV,45,41,23,36,32,NV,49,32,51,43,54,47,NV,36,38,43,37,34,37,40,37,49,32,29,35
,UH WG Jones Forest C698,1,Non,30,39,36,30,36,41,38,24,31,40,46,43,35,51,51,65,52,29,38,44,47,38,33,46,39,35,48,39,31,38
,UH West Liberty C699,1,Non,30,27,30,38,38,39,39,19,32,33,39,43,NV,NV,44,58,50,35,36,41,46,38,30,39,34,36,45,29,31,36
,Lynchburg Ferry C1015/A165 ,1,Reg,NA,NA,NA,NV,41,35,36,18,26,31,37,40,28,43,35,47,49,34,33,37,40,31,27,36,26,38,44,27,29,33
,Lake Jackson C1016 ,1,Reg,34,31,36,42,49,38,43,26,35,33,40,53,32,47,44,57,50,38,39,43,46,41,35,43,36,43,49,33,32,39
,Baytown Garth C1017,1,Reg,33,28,35,38,45,39,41,22,34,36,42,48,32,59,47,59,51,33,37,44,47,41,34,40,39,45,49,28,30,37
,Galveston 99th St. C1034/A320/X183,1,Reg,40,36,37,NV,49,48,44,26,38,32,43,60,32,57,53,57,57,46,40,45,48,42,40,42,43,43,54,37,31,40

December 2016
Area,Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31

Houston-Galveston-Brazoria
,Houston East C1/G316,2,Reg,36,20,20,18,11,23,10,18,19,25,31,7,19,19,21,19,17,24,26,29,36,25,18,26,25,24,22,21,29,25,16
,Houston Aldine C8/AF108/X150 ,2,Reg,39,25,23,20,14,22,9,13,15,20,23,10,15,15,19,10,11,17,23,19,35,31,16,27,25,25,23,20,33,25,21
,Channelview C15/AH115 ,3,Reg,34,23,23,19,15,27,15,20,27,26,30,12,19,21,25,17,16,25,34,32,36,30,13,24,18,14,21,19,35,27,19
,Northwest Harris Co. C26/A110/X154,2,Reg,33,29,26,21,17,23,17,22,24,24,30,18,19,20,27,15,18,27,33,31,37,37,17,28,26,27,22,NV,35,24,24
,Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,40,25,22,15,12,27,13,20,25,33,33,12,20,21,27,21,16,30,36,39,36,24,18,25,23,19,18,18,32,28,18
,Seabrook Friendship Park C45,1,Reg,43,31,27,17,15,32,23,18,28,35,37,21,24,21,30,25,19,22,32,36,40,23,21,29,25,16,18,19,32,34,26
,Houston Bayland Park C53/A146 ,1,Reg,35,20,18,17,11,NV,9,18,20,27,29,14,20,23,24,17,17,25,25,26,35,25,18,27,25,25,23,19,34,28,21
,Conroe Relocated C78/A321,1,Reg,41,33,31,24,19,21,20,23,28,30,33,19,21,20,29,16,20,29,37,34,40,38,18,34,30,32,22,23,38,30,20
,Manvel Croix Park C84,1,Reg,39,28,26,19,14,34,12,20,23,35,34,20,25,23,26,22,19,27,31,38,40,21,22,30,28,27,26,22,38,31,24
,Clinton C403/C304/AH113 ,3,Reg,34,23,22,19,13,NV,13,NV,27,29,32,7,16,23,28,16,16,26,32,27,28,24,16,26,NA,NA,NV,14,36,27,20
,Houston North Wayside C405/C1033,1,Reg,32,24,21,17,13,21,12,19,23,26,27,8,14,19,24,10,14,26,30,NV,28,27,15,25,24,23,22,15,32,24,12
,Houston Monroe C406,1,Reg,31,23,22,15,10,27,9,16,18,29,29,14,19,19,20,16,15,23,25,27,34,15,16,24,24,22,18,19,29,25,18
,Lang C408,2,Reg,30,24,20,19,12,24,9,17,18,22,27,12,18,18,23,12,15,24,26,23,32,27,15,24,24,24,23,18,29,23,21
,Houston Croquet C409,2,Reg,37,24,19,18,12,30,11,18,20,30,32,16,23,22,23,21,18,25,29,29,37,25,19,28,26,27,27,20,34,28,22
,Houston Westhollow C410/C3003,1,Reg,34,21,19,18,13,26,11,19,20,26,29,12,20,20,25,15,16,25,30,25,34,30,17,26,24,25,26,19,34,28,24
,Park Place C416,1,Reg,35,21,19,16,10,26,8,16,21,28,31,11,20,20,23,18,16,22,28,29,33,19,18,27,25,25,22,18,32,26,16
